Latitude,Longitude
-76.97265125,39.0588325
-86.03509297,40.80119098
-77.79580428,38.53076913
-95.4464917,29.024053
-119.2967354,34.39856543
-95.8937144,36.0424483
-71.91995247,42.06410694
-85.77108103,38.17401545
-84.52411169,38.23390077
-117.9958884,33.92808342
-118.34777834,34.12478184
18.47534,-34.05975
-80.8113928,34.96760589
-84.86960944,35.20106888
-76.91803142,38.88779912
-81.8837644,27.947043
-80.18316932,25.85640616
-118.45719742,34.16140162
-88.3623224,42.2505405
-86.45705452,32.46190368
-89.53153417,34.36899089
73.06282732,33.71963912
-76.30555436,36.8806979
-98.6682,29.4850412
-98.20037635,26.31311439
-111.9723269,33.52795776
-74.0197406,40.78939595
-121.6973062,38.55693836
-116.18757419,43.59667597
-84.24960155,33.85202053
-96.8147802,33.10477821
-83.3793123,33.9476059
-77.01935407,39.00246131
-71.91981572,42.06404756
-95.25009407,29.54409403
-76.27773284,36.79270864
-77.25610568,38.67018886
-77.03222423,38.91485637
-88.53088994,35.46275004
-120.07452171,36.72958121
-118.24670079,33.97627329
-98.22813326,32.21490613
-81.37648929,36.28789182
-114.21505214,51.01591436
-121.33282064,37.97094711
-118.30747919,34.05660512
-77.51144221,43.11437821
-92.6291928,32.52250767
-97.10248587,33.02054547
-117.61766327,33.65591242
-73.93657015,41.71948093
-97.07672208,36.11749592
-89.79470473,31.25250491
-99.47707381,27.57135658
-96.89859691,33.22546368
-95.15672801,29.67860713
-87.6945801,41.7897118
-88.37862805,41.85928018
-77.26709138,38.843787
-87.54448163,33.20642603
-92.04415888,32.6960988
-81.06926933,29.20655074
-77.26709138,38.843787
-96.12835122,41.19134182
-78.55404116,35.86345502
-124.25522172,43.392633
-86.64172866,36.06813616
-149.82108914,61.20733904
-77.83315351,40.82728239
-70.4629197,43.9561631
-119.6836861,47.09671842
-98.62009875,29.57582484
-84.45248918,39.17056658
-87.6637545,41.9420473
-83.0135325,40.00568179
83.24866161,17.74932254
-80.15986268,25.85188283
-85.87012181,37.69966459
-101.73775136,34.211529
-85.76935004,38.17391854
-73.99552761,40.74669449
-87.40942886,39.41533843
-81.37648992,36.28789385
11.91194553,49.71096626
-118.38104118,33.86924314
-85.76935859,38.17387642
-96.9373921,32.6177447
-76.62391383,39.2115707
-83.6832682,42.648878
-81.49681689,31.2044554
-88.98389968,42.40218778
-77.51113289,39.05216631
-97.92278451,38.06315248
-80.2015344,26.015355
-81.46864542,41.5281997
-78.88958012,33.71264871
-82.09409001,39.32233742
-72.44737804,41.85579326
-120.074389,36.72954908
-97.64093815,35.59729963
-73.92600719,40.84184475
-96.38040561,30.67491585
-121.54409599,38.59121762
-96.85298025,32.52389621
-76.42990572,40.44831014
-94.36016172,32.53472392
-97.73909235,28.40722431
-97.59607358,35.60590834
-83.25999029,33.0775104
-97.92245431,38.06297647
-113.993453,51.029176
-84.29437488,30.43894485
-79.47939373,35.28389356
-119.68373291,47.0967581
-79.0666643,36.4450986
100.49548002,13.73211911
29.02428148,40.17222444
-95.71288574,32.52597875
-77.03484993,38.92225729
-77.2561043,38.67017843
-83.25999029,33.0775104
7.6939155,49.3577457
-119.04776926,35.33181152
-113.99191992,53.51520795
-70.9033692,42.5634436
-96.34794144,30.62720863
-93.96032637,30.14267069
-114.18372627,51.06961711
-99.8576206,35.22278199
-73.98912573,40.73371145
-76.6126163,39.26779116
-78.74013604,35.40574882
-90.1193473,29.9467577
-87.69172796,41.91431898
-77.04011399,38.99489021
-114.65093203,32.68374766
-115.28607398,36.01484425
-86.44431738,35.75041437
-73.9023614,40.8715682
-95.10357026,29.50135856
-98.6682,29.4850412
-105.57008578,48.09509306
-88.23371332,40.11265725
-85.76672508,33.82134819
-78.90112209,35.73926442
-89.53705539,34.36945514
-119.82600004,39.5403141
-74.1560745,40.9328341
-84.48995084,42.73506898
-75.12029361,39.7185818
-119.86731014,34.4204568
-93.5879579,41.7657452
-80.55228118,37.13851939
-98.5602675,29.4476201
2.39057051,48.83665786
