Latitude,Longitude
-121.40283026,37.69948406
-97.6640919,31.05301767
-119.87279606,36.77029208
-76.91791664,38.88779109
-80.2251959,40.5101334
-87.67985921,41.95965855
-75.45690262,43.83511897
-80.20220175,33.84654593
-81.54762992,41.45748912
-96.929442,32.5909367
-80.58849511,41.93586269
-76.23210104,36.94066821
-78.84457881,38.42266945
-95.3428616,29.7181692
-74.41627854,41.43282885
-118.3022929,46.0730962
-101.31130762,48.20324417
-80.40111414,25.73251629
-96.86831571,33.12050971
-89.79466885,31.25247197
-97.74914842,30.24319036
-86.14474129,39.83903415
-121.01536988,37.43573068
-117.24301441,32.88630594
-77.08712165,38.96357277
-77.41771619,37.23740343
-77.00037057,38.89789279
-119.78559148,39.55847776
-77.1402886,38.99518349
-74.42922475,40.77617112
-97.74445734,30.29371929
-96.93917982,36.71472454
-80.41718985,37.22647422
-122.32315766,47.06843377
-95.2348157,38.9404087
-83.72227048,42.29342043
-122.39096744,47.68783692
-98.2002894,28.5768566
-79.6630165,43.78667932
-77.49933883,38.89494879
-77.02874744,38.90525405
-104.99351,39.90394
-84.17469171,39.59585921
-82.3699952,35.07375883
-76.5816226,36.76797661
-86.45606888,36.98446794
-106.59574902,31.99427162
-111.91527349,40.78852071
-82.41277124,28.0816361
-77.08957132,38.93751976
-77.04595575,38.83572337
-77.08417716,38.92376484
-93.1098388,45.07013419
-86.16042247,39.76868053
-71.16512395,42.33833192
-81.641158,30.250884
-72.4846782,42.6680686
-77.01128483,38.88946288
-82.34535409,29.65097622
-74.43174957,40.47693157
-83.6379353,42.46004993
-110.83527707,32.28211711
31.019336,-29.8387534
-78.8848302,42.94765832
-75.15070862,39.97848316
-106.6422326,35.07894308
-71.409726,41.8238736
-81.0260129,34.0065285
-81.09172226,32.07226445
-76.2089349,36.8018457
-81.27052671,28.47885261
-73.60248759,45.63537042
-90.38266168,38.27871474
-87.8121862,42.8168947
-96.6332054,32.8897189
-86.27803326,39.8208665
-117.23750647,32.76744744
-84.34199152,33.84139031
-73.6044332,40.71178297
-122.25830778,37.79596456
-76.26593192,36.73586186
-77.5594125,37.6353522
-77.79299655,38.08261949
-93.58568565,44.81449425
-66.0871765,18.3971192
-90.02554014,35.21911553
-85.77029845,33.8282202
-73.85059082,40.84305146
-77.0480352,38.8994961
-78.8944841,35.9743821
-84.94073164,41.57248101
-77.40397018,38.95070517
-100.26792684,25.6270116
-89.98861863,38.56096465
-73.97542914,40.75463194
-111.76082234,33.41969725
-83.3772036,35.4359014
-76.91631374,38.82091608
-86.05743,34.01644
-118.3108723,34.0689155
-90.10927949,29.93212043
-66.18371581,18.44344515
-73.99199068,40.57509629
-72.53344094,41.78954411
-95.2684046,32.3069372
-77.00951948,38.897341
-73.1253887,40.9115353
-88.3329187,42.03999536
-76.26609977,36.73589773
-97.46078495,37.64427888
-96.73992676,33.17770135
-122.4666403,46.8266965
-85.62078542,42.27643945
-75.05495,40.02427
-75.17859433,39.95105888
-96.6584745,33.0985505
-80.20083669,25.80092593
-77.9024758,34.13461995
-70.35913356,43.69721638
-123.0753612,49.10769558
-122.47093848,38.29945562
-106.69678724,35.19279158
-78.82538133,42.78390552
-77.03816053,38.91032536
-80.2164229,25.7956309
-77.24092433,38.87687133
77.07763,28.47927
-73.98312968,40.74186307
-76.26609977,36.73589773
-112.01340472,41.08284637
-75.11211545,40.05126094
-83.89287306,36.87335411
-77.01969516,38.91238057
-74.74986599,41.80066359
-81.641122,30.250934
-79.0666643,36.4450986
-81.36221018,28.7905766
-78.7350399,42.77351263
-77.07259469,38.90670233
-77.4474416,37.55021417
-84.73990093,39.51049332
-85.2591517,34.2819999
-82.40085385,34.81706212
-95.17744572,29.71092869
-84.39649164,42.23011579
-86.59125927,34.73254722
-118.34839387,33.92813609
-87.52060935,41.44189658
-81.09554196,35.76505646
-88.77607938,41.94482795
-73.44295358,40.73362151
-77.3125953,37.2657571
-97.07798045,36.12437373
-86.16538684,34.21088356
-93.0003178,43.66444638
-105.16610647,40.64470225
-76.51304075,42.41760207
-100.62992908,46.09475357
-82.30090736,34.94120192
-86.6406701,36.1394669
-74.44938808,40.50043871
-81.50486597,41.49025954
-85.7886078,38.1887461
-75.45672359,43.83493656
-84.30207961,30.44624738
-76.26609977,36.73589773
-90.130282,29.878989
-74.03530603,40.72293316
-97.44663506,35.20808934
-77.05080486,38.90586898
-95.5484903,29.6895637
-76.98806193,38.90678873
-87.92407598,30.47722038
-75.15070899,39.97847174
-73.91036011,40.91167616
-82.53819825,42.61087805
-104.93141997,39.70250749
-71.16523761,42.33827543
-93.2924192,37.20750089
-80.4177855,37.22623105
-118.59486501,34.20250926
-115.05546483,36.09090148
-76.23310016,36.91539589
-81.68699356,30.44238127
-81.62508308,38.34363851
-76.65301917,40.25887988
-87.624717,41.89223585
-84.08170862,33.37506345
-75.60317488,38.33609411
-83.01246107,42.35775798
-73.9470911,40.78060558
-85.84007585,38.19360859
-73.98551768,40.76186306
-81.59353673,41.41172795
-82.57022546,35.7034497
-76.3281146,36.8035514
-78.40377619,35.67299718
-118.381378,34.086864
-74.151095,40.7298575
-74.18982466,40.93289049
-73.26039203,41.16019801
-92.89486968,42.0558765
-79.41169627,33.38738739
-87.6611537,41.9858916
-94.10481311,36.04782705
-76.99733147,38.93825741
-98.54189906,29.42673224
-73.9538074,40.6555397
-77.04410581,38.91254779
-77.36935446,34.74653115
-73.97573339,40.78209461
